clade	species	n_genomes	n_genes	piS	piN	piN_piS
FSM	Mycobacterium sp018401645	13	80	0.0078	0.0013	0.162
FSM	Mycobacterium sp037138275	7	80	0.0134	0.0018	0.133
FSM	Mycobacterium sp903911165	7	80	0.0245	0.0021	0.088
FSM	Mycobacterium sp945897705	13	80	0.0016	0.0001	0.062
FSM	Mycobacterium sp964202555	14	80	0.005	0.0005	0.106
RGM	Mycobacterium fallax	4	80	0.0177	0.002	0.115
RGM	Mycobacterium poriferae	5	80	0.0227	0.0018	0.078
RGM	Mycobacterium smegmatis	8	80	0.0266	0.0024	0.09
RGM	Mycobacterium sp020438785	6	80	0.0294	0.0036	0.121
RGM	Mycobacterium sp020438865	4	80	0.0045	0.0002	0.05
RGM	Mycobacterium sp964000695	24	80	0.0033	0.0003	0.078
