family	p_crown	p_preceding	crown	preceding	fate
accA1	1	1	present	present	retained
accA2	0.9999	1	present	present	retained
accBC	0.9999	0.9999	present	present	retained
accD1	1	1	present	present	retained
accD2	0.9996	0.9999	present	present	polymorphic
accD3	0.0335	0.9764	absent	present	lost_cladewide
accD4_2	0.0687	0.9339	unresolved	unresolved	lost_cladewide
accD6	1	1	present	present	polymorphic
aceA	0.9977	1	present	present	polymorphic
aceAb	1	1	present	present	retained
aceE	1	1	present	present	retained
ackA	1	1	present	present	retained
acnA	1	1	present	present	polymorphic
acnR	0.0185	0.9886	absent	present	lost_cladewide
acpP	1	1	present	present	retained
acpS	1	1	present	present	retained
acsA	1	1	present	present	retained
add	0.9999	0.9999	present	present	retained
adhA	0.9996	0.9997	present	present	polymorphic
adhB	0.9999	0.9999	present	present	retained
adhC	1	1	present	present	retained
adhE2	1	1	present	present	retained
adk	1	1	present	present	retained
adoK	1	1	present	present	retained
aftA	1	1	present	present	retained
aftB	1	1	present	present	retained
aftC	0.5	0.5	unresolved	unresolved	retained
aftD	1	1	present	present	retained
aglA	0.0438	0.9663	absent	present	lost_cladewide
ahcY	1	1	present	present	retained
ahpE	1	1	present	present	retained
aidB	0.9999	0.9999	present	present	retained
alaS	1	1	present	present	retained
ald	0.9999	1	present	present	retained
aldC	0.9998	0.9996	present	present	retained
aldH	0.2796	0.9462	unresolved	unresolved	polymorphic
alkA	0.1195	0.9079	unresolved	unresolved	lost_cladewide
alkB	0.1755	0.9038	unresolved	unresolved	polymorphic
alr	1	1	present	present	retained
amiA	1	1	present	present	retained
amiA2	0.589	0.7033	unresolved	unresolved	lost_cladewide
amiB1	0.0249	0.9831	absent	present	lost_cladewide
amiC	1	1	present	present	retained
ansA	1	1	present	present	retained
apa	0.5	0.5	unresolved	unresolved	retained
apeB	1	1	present	present	retained
apt	1	1	present	present	retained
arc	1	1	present	present	retained
argA	1	1	present	present	retained
argB	0.9999	0.9999	present	present	retained
argC	1	1	present	present	retained
argD	1	1	present	present	retained
argE	0.9999	0.9993	present	present	retained
argF	0.9999	0.9999	present	present	retained
argG	0.9999	0.9999	present	present	retained
argH	1	1	present	present	retained
argJ	0.9999	0.9999	present	present	retained
argK	1	1	present	present	retained
argR	0.9999	0.9999	present	present	retained
argS	0.9999	0.9999	present	present	retained
aroB	1	1	present	present	retained
aroC	1	1	present	present	retained
aroE	1	1	present	present	retained
aroG	1	1	present	present	retained
aroQ	1	1	present	present	retained
arsA	1	1	present	present	retained
