family	ER_prob_present_at_crown	ARD_prob_present_at_crown	ARD_informative	ER_class	ARD_class	classes_agree	both_confident	opposite_confident_calls	in_clade_wide_lost_set
LYS1	0.999996849159107	0.5	False	present	unresolved	False	False	False	False
accA1	0.999995149966915	0.5	False	present	unresolved	False	False	False	False
accA2	0.999895768435553	0.499828016398278	False	present	unresolved	False	False	False	False
accBC	0.999907734893857	0.500000005268552	False	present	unresolved	False	False	False	False
accD1	0.999998791697976	0.5	False	present	unresolved	False	False	False	False
accD2	0.99963681330113	0.499999934872049	False	present	unresolved	False	False	False	False
accD3	0.0335379525375415	0.998155353802469	True	absent	present	False	True	True	True
accD4_2	0.0686855680316164	0.999665290811237	True	unresolved	present	False	False	False	True
accD6	0.999970103574997	0.5	False	present	unresolved	False	False	False	False
aceA	0.997714123651466	0.428902612971542	True	present	unresolved	False	False	False	False
aceAb	0.99999604121774	0.955413128761027	True	present	present	True	True	False	False
aceE	0.999997047282845	0.5	False	present	unresolved	False	False	False	False
ackA	0.999996999334784	0.5	False	present	unresolved	False	False	False	False
acnA	0.999993614942724	0.5	False	present	unresolved	False	False	False	False
acnR	0.0185385348163782	0.0158715126016842	True	absent	absent	True	True	False	True
acpP	0.999990522792893	0.5	False	present	unresolved	False	False	False	False
acpS	0.999981806298967	0.5	False	present	unresolved	False	False	False	False
acsA	0.999999619680343	0.50000000010759	False	present	unresolved	False	False	False	False
add	0.999931209507818	0.5	False	present	unresolved	False	False	False	False
adhA	0.999566045588896	0.989206774825898	True	present	present	True	True	False	False
adhB	0.999936540236879	0.5	False	present	unresolved	False	False	False	False
adhC	0.999968411111894	0.5	False	present	unresolved	False	False	False	False
adhE2	0.999999954919615	0.5	False	present	unresolved	False	False	False	False
adk	0.999999609801225	0.5	False	present	unresolved	False	False	False	False
adoK	0.999993818312855	0.5	False	present	unresolved	False	False	False	False
aftA	0.999998841285336	0.5	False	present	unresolved	False	False	False	False
aftB	0.99999963270906	0.5	False	present	unresolved	False	False	False	False
aftC	0.5	0.5	False	unresolved	unresolved	True	False	False	False
aftD	0.999999669378579	0.5	False	present	unresolved	False	False	False	False
aglA	0.0438325222417341	0.0120049905712211	True	absent	absent	True	True	False	True
ahcY	0.999993816605548	0.5	False	present	unresolved	False	False	False	False
ahpE	0.99995575170964	0.5	False	present	unresolved	False	False	False	False
aidB	0.999857669758184	0.5	False	present	unresolved	False	False	False	False
alaS	0.999999957362001	0.999992535153694	True	present	present	True	True	False	False
ald	0.99994298215886	0.50000222965836	False	present	unresolved	False	False	False	False
aldC	0.999810190204362	0.5	False	present	unresolved	False	False	False	False
aldH	0.279631705855632	0.0205890423568289	True	unresolved	absent	False	False	False	False
alkA	0.119524755608047	0.0739212178248904	True	unresolved	unresolved	True	False	False	True
alkB	0.175493123546757	0.499982208362755	False	unresolved	unresolved	True	False	False	False
alr	0.999999642001171	0.5	False	present	unresolved	False	False	False	False
amiA	0.999998756194044	0.5	False	present	unresolved	False	False	False	False
amiA2	0.588991802189011	0.590098974063008	True	unresolved	unresolved	True	False	False	True
amiB1	0.0249419995943443	1	True	absent	present	False	True	True	True
amiC	0.999998763943481	0.5	False	present	unresolved	False	False	False	False
ansA	0.99998556042825	0.5	False	present	unresolved	False	False	False	False
apa	0.5	0.5	False	unresolved	unresolved	True	False	False	False
apeB	0.999993847356393	0.5	False	present	unresolved	False	False	False	False
apt	0.999999956848847	1	True	present	present	True	True	False	False
arc	0.999996934856615	0.5	False	present	unresolved	False	False	False	False
argA	0.999995118147774	0.5	False	present	unresolved	False	False	False	False
argB	0.999929880473424	0.5	False	present	unresolved	False	False	False	False
argC	0.999968021142966	0.5	False	present	unresolved	False	False	False	False
argD	0.999967800483885	0.5	False	present	unresolved	False	False	False	False
argE	0.999922287194915	0.5	False	present	unresolved	False	False	False	False
argF	0.999925789665876	0.499993618445683	False	present	unresolved	False	False	False	False
argG	0.999935030316009	0.5	False	present	unresolved	False	False	False	False
argH	0.999956638539385	0.5	False	present	unresolved	False	False	False	False
argJ	0.999902175548303	0.500000000016064	False	present	unresolved	False	False	False	False
