gene	pct_FSM	pct_other	fisher_p	BH_FDR	COG_category
ptsG	94.8	1.4	7.525055380712173e-58	2.940039137244246e-54	Carbohydrate metab
crtD	86.5	0.7	1.0061733504988244e-49	1.965559640199454e-46	Secondary metabolites
pap	94.8	7.5	2.298195578778241e-47	2.993016708762196e-44	Other/unknown
cutC	82.3	0.7	1.1416005199680957e-45	1.115058307878838e-42	Ion transport
ppaC	79.2	0.0	1.0631039519614158e-44	8.307094280626504e-42	Energy production
chaA	94.8	10.2	7.24045387966185e-44	4.714742217973142e-41	Ion transport
deoD_1	74.0	0.0	2.3671410434522053e-40	1.321202865252538e-37	Nucleotide metab
ybbC	76.0	0.7	3.0964797699225393e-40	1.51224330763592e-37	Other/unknown
pnuC	88.5	8.2	2.3436432001825232e-39	1.017401553679235e-36	Coenzyme metab
cfp2	99.0	21.1	9.734765595417072e-39	3.80337291812945e-36	Other/unknown
esxD	97.9	19.7	2.693847445886594e-38	9.568056337344475e-36	Other/unknown
sadh	92.7	14.3	7.050469459545643e-37	2.295515348203736e-34	Other/unknown
yeeR	83.3	8.8	1.07709077692554e-33	3.237072050344681e-31	PTM/chaperones
citB	86.5	12.2	9.857382045757515e-33	2.750913689483901e-30	Transcription
galE	93.8	21.8	2.9376299679934855e-31	7.651546856633698e-29	Cell wall/envelope
nagB	97.9	32.0	1.043154146829264e-28	2.547252032288709e-26	Carbohydrate metab
fadD11_1	93.8	25.9	4.244849135339987e-28	9.755662101043135e-26	Lipid metab
esxC	97.9	33.3	8.660037144081984e-28	1.879709173440462e-25	Other/unknown
PE36	99.0	36.1	1.6434246450057693e-27	3.21043004401877e-25	Other/unknown
lpqD	99.0	36.1	1.6434246450057693e-27	3.21043004401877e-25	Carbohydrate metab
nagE	99.0	36.7	4.4876718109447486e-27	8.349206554933872e-25	Carbohydrate metab
oppA	69.8	6.1	1.0699593940013051e-26	1.9001506147105e-24	Amino-acid metab
cyp147G1	90.6	24.5	4.9755015378351246e-26	8.310133499657472e-24	Energy production
pchP	53.1	0.0	5.104765907135381e-26	8.310133499657472e-24	Amino-acid metab
eccD2	96.9	34.0	5.349900104632999e-26	8.36082388352045e-24	Other/unknown
rpfE	95.8	32.7	1.169250653537317e-25	1.75702396283473e-23	Cell wall/envelope
