Lineage	Genome size (Mb)	GC (%)	Microbial rhodopsin	Retinal supply evidence	Freshwater	Taxonomic group	Source (cultured / MAG)	Key difference from this study
acI / Nanopelagicales (Ca. Planktophila, Ca. Nanopelagicus)	~1.2-1.4	40.2-48.6	Yes (actinorhodopsin)	Pathway genes present in acI-A/B and absent in acI-C; retinal and holo-ActR shown by heterologous reconstitution	Yes	Actinomycetota, Nanopelagicaceae	MAG + cultured	Extreme reduction, low GC, different family
Rhodoluna lacicola	~1.4	~51	Yes (actinorhodopsin)	Pumps only with exogenous retinal	Yes	Actinomycetota, Microbacteriaceae	Cultured isolate	Extreme reduction, cultured, different family
SAR11 / Ca. Pelagibacter (LD12/Fonsibacter freshwater sister)	~1.3	~29-30	Yes (proteorhodopsin)	Established	Mostly marine (LD12 freshwater)	Alphaproteobacteria	Cultured	Marine, very low GC, different phylum
Prochlorococcus	~1.6-2.7	~31-51	No (chlorophyll-based)	n/a	No (marine)	Cyanobacteria	Cultured	Oxygenic phototroph, marine, different phylum
Acidiparvus / UBA12189 (Wong 2024)	1.12-1.37	44.3-48.7	Yes (proteorhodopsin, DTE motif)	crt retinal-biosynthesis genes absent; supply open between environmental uptake and an uncharacterised pathway	Yes (circumneutral lakes and rivers)	Acidobacteriota, Holophagaceae	MAG (66 high-quality, 1 closed)	Extreme reduction, low GC, different phylum; retinal pathway lost entirely
Polynucleobacter necessarius (Boscaro 2013)	2.16 (free-living) / 1.56 (symbiont)	n.r. (not reported in source)	No	n/a	Yes (free-living strain; symbiont within Euplotes)	Betaproteobacteria, Burkholderiaceae	Cultured / host-associated	Only prior case of both reduction modes in one species, but two-step and sequential down one lineage, ending at two different sizes, with synonymous sites saturated on the branch to the outgroup so no dN/dS ratio could be estimated (their contrast was based on dN alone)
Freshwater Nitrosospira (Podowski 2022)	reduced vs relatives	n.d.	Yes (proteorhodopsin)	Not established	Yes	Betaproteobacteria (nitrifier)	MAG	Chemolithoautotrophic nitrifier, different phylum
FRESH-MAP reduced freshwater MAGs (Rodriguez-Gijon 2025)	various (reduced)	various	Enriched in reduced genomes	Not assessed per lineage	Yes	Mixed phyla	MAG	Cross-lineage survey, not one coherent lineage
FSM (this study)	~3.3 (median)	~67	Yes (77%; actinorhodopsin-type)	Not established (oxygenase non-retinal type)	Yes (proxy + salinity-annotated minority)	Actinomycetota, Mycobacteriaceae (Mycobacterium)	MAG	Within Mycobacterium (pathogen-associated genus); high GC; moderate, non-degenerative reduction
Values are approximate, drawn from the cited primary studies (genome size, GC, rhodopsin/retinal evidence) and from this study for FSM; intended as a qualitative novelty-boundary comparison, not a re-analysis.
