Prior study	Dataset	Taxa	Rhodopsin reported?	Genome reduction studied?	Mycobacterium-specific?	Same MAGs as this study?
Schmidt et al. 2024 (SPIRE)	Global metagenome MAG catalogue	All bacteria/archaea	No	No	No	Source of our MAGs, but does not delineate or analyse this lineage
Woodcroft et al. 2026 (SingleM/Sandpiper)	Metagenome marker-gene profiling method	n/a (method)	No	No	No	Method we use for biogeography; not a prior lineage analysis
Rodriguez-Gijon et al. 2025 (FRESH-MAP)	80,561 freshwater MAGs / 636 metagenomes	Cross-phylum freshwater	Yes (enriched in reduced genomes)	Yes (streamlining)	No	No (different freshwater MAG set; not Mycobacterium)
Neuenschwander 2018 / Salcher 2019 / Chiriac 2026	Freshwater isolates + MAGs	Actinobacteria (acI/Nanopelagicales)	Yes (actinorhodopsin)	Yes	No	No
Podowski et al. 2022	Laurentian Great Lakes metagenomes	Betaproteobacteria (Nitrosospira nitrifiers)	Yes (proteorhodopsin)	Yes	No	No
Sharma et al. 2008/2009	Environmental amplicons + cultured strains	Freshwater Actinobacteria	Yes (actinorhodopsin)	No	No	No
Das et al. 2015	3 cultured isolate genomes	Mycobacterium (soil/bioremediation)	Yes (proteorhodopsin, 2 spp)	No	Yes	No (cultured isolates, not these MAGs)
Gupta 2018 / Meehan 2021 / Rahman 2014	Isolate genomes / GTDB references	Mycobacterium	No	Partly (pathogen decay)	Yes	No (isolates/reference genomes)
Boscaro et al. 2013 (Polynucleobacter)	2 conspecific genomes: free-living QLW-P1DMWA-1 (2.16 Mb) + Euplotes symbiont STIR1 (1.56 Mb)	Betaproteobacteria (Polynucleobacter necessarius)	No	Yes (both modes in one species: streamlining in a free-living ancestor, then erosion in the symbiotic lineage)	No	No. The closest prior art to the comparison made here. Differs on three counts: the reduction is two-step and sequential down one lineage, not two contemporaneous lineages; the two states end at different sizes (2.16 vs 1.56 Mb, 28% apart) where FSM and the leprosy clade match at 3.31 vs 3.27 Mb; and synonymous sites were saturated on the branch to their closest outgroup, which means that no dN/dS ratio could be estimated and their contrast was based on dN alone
Wong et al. 2024 (Acidiparvus, UBA12189)	66 high-quality freshwater MAGs incl. 1 closed genome	Acidobacteriota, Holophagaceae (proposed genus Acidiparvus)	Yes (proteorhodopsin, DTE motif; crt retinal-biosynthesis genes absent, retinal supply left open by the source)	Yes (streamlining; 1.12-1.37 Mb, 44.3-48.7% GC, 92.2-95.3% coding density)	No	No (different phylum and MAG set). Cited as the closest structural precedent for the reduced/rhodopsin-bearing freshwater syndrome and as the far end of the trajectory on which FSM sits early
This study (FSM)	246 SPIRE Mycobacterium MAGs + 616 GTDB references	Mycobacterium (FSM lineage)	Yes (77%)	Yes (non-degenerative)	Yes	-
