genome	bakta	db_version	db_type	duration	command
GCA_000230935.2	1.11.4	6.0	full	6.96 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_000230935.2 --prefix GCA_000230935.2 --threads 8 --skip-plot --force /tmp/bakta_iso_1677689/GCA_000230935.2.fna
GCA_001942045.1	1.11.4	6.0	full	17.63 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_001942045.1 --prefix GCA_001942045.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_001942045.1.fna
GCA_002007745.1	1.11.4	6.0	full	17.78 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_002007745.1 --prefix GCA_002007745.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_002007745.1.fna
GCA_002102225.1	1.11.4	6.0	full	17.44 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_002102225.1 --prefix GCA_002102225.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_002102225.1.fna
GCA_002967005.1	1.11.4	6.0	full	13.15 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_002967005.1 --prefix GCA_002967005.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_002967005.1.fna
GCA_003347205.1	1.11.4	6.0	full	19.80 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_003347205.1 --prefix GCA_003347205.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_003347205.1.fna
GCA_016197365.1	1.11.4	6.0	full	18.86 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_016197365.1 --prefix GCA_016197365.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_016197365.1.fna
GCA_021654635.1	1.11.4	6.0	full	13.45 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_021654635.1 --prefix GCA_021654635.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_021654635.1.fna
GCA_024758765.1	1.11.4	6.0	full	14.73 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_024758765.1 --prefix GCA_024758765.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_024758765.1.fna
GCA_025821245.1	1.11.4	6.0	full	18.98 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_025821245.1 --prefix GCA_025821245.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_025821245.1.fna
GCA_900078775.1	1.11.4	6.0	full	16.70 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_900078775.1 --prefix GCA_900078775.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_900078775.1.fna
GCA_900637135.1	1.11.4	6.0	full	14.19 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCA_900637135.1 --prefix GCA_900637135.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCA_900637135.1.fna
GCF_000157895.3	1.11.4	6.0	full	11.11 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000157895.3 --prefix GCF_000157895.3 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000157895.3.fna
GCF_000164135.1	1.11.4	6.0	full	11.78 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000164135.1 --prefix GCF_000164135.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000164135.1.fna
GCF_000195855.1	1.11.4	6.0	full	11.67 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000195855.1 --prefix GCF_000195855.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000195855.1.fna
GCF_000195955.2	1.11.4	6.0	full	10.59 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000195955.2 --prefix GCF_000195955.2 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000195955.2.fna
GCF_000230895.2	1.11.4	6.0	full	11.30 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000230895.2 --prefix GCF_000230895.2 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000230895.2.fna
GCF_000243415.2	1.11.4	6.0	full	14.13 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000243415.2 --prefix GCF_000243415.2 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000243415.2.fna
GCF_000266905.1	1.11.4	6.0	full	11.35 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000266905.1 --prefix GCF_000266905.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000266905.1.fna
GCF_000277125.1	1.11.4	6.0	full	11.60 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000277125.1 --prefix GCF_000277125.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000277125.1.fna
GCF_000317305.3	1.11.4	6.0	full	14.24 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000317305.3 --prefix GCF_000317305.3 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000317305.3.fna
GCF_000340435.2	1.11.4	6.0	full	10.84 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000340435.2 --prefix GCF_000340435.2 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000340435.2.fna
GCF_000455325.1	1.11.4	6.0	full	16.04 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000455325.1 --prefix GCF_000455325.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000455325.1.fna
GCF_000526915.1	1.11.4	6.0	full	12.83 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000526915.1 --prefix GCF_000526915.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000526915.1.fna
GCF_000559085.1	1.11.4	6.0	full	12.82 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000559085.1 --prefix GCF_000559085.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000559085.1.fna
GCF_000612725.1	1.11.4	6.0	full	12.20 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000612725.1 --prefix GCF_000612725.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000612725.1.fna
GCF_000613185.1	1.11.4	6.0	full	12.41 min	~/miniconda3/envs/bakta/bin/bakta --db ~/database/bakta-db/db --output <project>/bakta_isolates/GCF_000613185.1 --prefix GCF_000613185.1 --threads 3 --skip-plot --force /tmp/bakta_iso_1761040/GCF_000613185.1.fna
