FSM genomes sampled	median largest block	min	max	draws of 20 exceeding three
1	1	1	1	0
2	2	1	2	0
3	3	1	3	0
4	4	1	4	17
5	5	1	5	13
6	4	1	6	11
8	5	3	8	16
10	5	2	10	17
12	8.5	3	12	19
16	13	5	16	20
20	9	5	20	20
30	13	9	16	20
40	17	12	32	20
60	25	19	31	20
Four genomes are often enough (17 of 20 draws), and from 16 always: at n=4 FSM already exceeds every non-FSM block in 17 of 20 draws, and from n=16 in all of them. The limit is therefore not the method but the sampling. The 824 ingroup genomes span 582 GTDB species, of which 524 (90%) are represented by a single genome and 567 (97%) by fewer than four; those thinly sampled species hold 75% of the ingroup. A second clade like FSM, sampled at one or two genomes, would appear in this analysis as one more sporadic small genome. FSM contains no cultured isolate and would have been invisible before metagenome binning.
