genome	clade	bulk_Nc	ribo_Nc	gap_bulk_minus_ribo	n_ribosomal
spire_mag_00688367	FSM	40.013	35.299	4.713	32
spire_mag_01112767	FSM	36.107	32.713	3.394	36
spire_mag_00874085	FSM	39.342	34.383	4.960	41
spire_mag_01108952	FSM	36.249	33.160	3.089	32
spire_mag_01094744	FSM	38.301	32.388	5.913	30
spire_mag_01822349	FSM	40.217	34.958	5.259	31
spire_mag_01632252	FSM	39.625	35.124	4.500	34
spire_mag_01112928	FSM	39.806	35.017	4.790	37
spire_mag_00873789	FSM	39.322	34.573	4.749	40
spire_mag_02100063	FSM	36.856	33.291	3.565	39
spire_mag_01663809	FSM	37.996	33.301	4.694	42
spire_mag_01583196	FSM	40.126	35.105	5.021	26
spire_mag_00873124	FSM	39.277	34.700	4.577	39
spire_mag_02762480	FSM	36.786	32.653	4.133	39
spire_mag_01949778	FSM	39.752	35.787	3.965	39
spire_mag_01776742	FSM	39.957	35.048	4.909	28
spire_mag_01948467	FSM	36.054	31.726	4.328	38
spire_mag_01104972	FSM	39.651	34.675	4.977	34
spire_mag_01104521	FSM	39.947	35.184	4.763	34
spire_mag_01662118	FSM	38.011	33.188	4.823	37
spire_mag_01094475	FSM	38.605	32.123	6.481	37
spire_mag_01752215	FSM	36.991	32.661	4.330	33
spire_mag_00036704	FSM	34.082	31.202	2.879	34
spire_mag_01107416	FSM	39.670	35.271	4.398	30
spire_mag_02088507	FSM	33.953	31.188	2.765	41
spire_mag_01777835	FSM	39.963	35.175	4.788	31
spire_mag_01748689	FSM	37.004	33.295	3.709	37
spire_mag_01749319	FSM	36.901	33.520	3.381	38
spire_mag_01093898	FSM	41.016	35.873	5.143	40
spire_mag_01744298	FSM	36.941	33.386	3.554	39
spire_mag_00866583	FSM	39.235	34.641	4.594	40
spire_mag_01753944	FSM	36.844	33.491	3.352	39
spire_mag_01822855	FSM	40.049	34.699	5.351	32
spire_mag_00193483	FSM	34.776	30.698	4.078	40
spire_mag_00864073	FSM	39.340	34.766	4.574	38
spire_mag_01949386	FSM	39.785	35.833	3.952	39
spire_mag_00874229	FSM	39.345	34.437	4.909	41
spire_mag_02088330	FSM	33.885	30.532	3.353	36
spire_mag_01753570	FSM	39.781	34.571	5.210	40
spire_mag_01830074	FSM	39.942	35.109	4.834	29
spire_mag_01743952	FSM	36.841	33.487	3.353	39
spire_mag_02102612	FSM	35.030	30.741	4.289	47
spire_mag_00868143	FSM	39.341	34.610	4.731	40
spire_mag_01777252	FSM	40.072	35.242	4.830	31
spire_mag_00863569	FSM	39.216	34.551	4.665	40
spire_mag_02005306	FSM	34.466	32.612	1.853	39
spire_mag_00142179	FSM	34.864	30.531	4.334	45
spire_mag_02088418	FSM	38.388	34.443	3.945	35
spire_mag_02088828	FSM	33.955	30.656	3.300	36
spire_mag_01744910	FSM	37.042	33.559	3.483	37
spire_mag_01759821	FSM	36.852	33.463	3.389	38
spire_mag_00138052	FSM	37.387	32.436	4.951	36
spire_mag_00709104	FSM	46.344	37.896	8.448	28
spire_mag_00869002	FSM	39.332	34.562	4.770	40
spire_mag_02088284	FSM	38.264	33.109	5.155	35
spire_mag_00874439	FSM	39.378	34.429	4.949	41
spire_mag_01960731	FSM	39.391	34.806	4.585	35
spire_mag_01775892	FSM	40.024	34.947	5.078	29
spire_mag_01949445	FSM	39.638	35.750	3.889	38
spire_mag_01111439	FSM	36.182	32.960	3.222	34
spire_mag_01112215	FSM	36.323	33.387	2.936	36
spire_mag_01755240	FSM	36.900	33.389	3.512	38
spire_mag_01747196	FSM	36.992	33.212	3.779	37
spire_mag_01108626	FSM	36.378	32.862	3.516	34
spire_mag_01947641	FSM	39.835	35.882	3.953	38
spire_mag_01041266	FSM	33.751	32.413	1.339	38
spire_mag_01947849	FSM	39.738	35.942	3.796	41
spire_mag_01753708	FSM	36.910	33.443	3.467	38
spire_mag_00871125	FSM	39.235	34.445	4.790	41
spire_mag_01882647	FSM	36.300	32.502	3.798	44
spire_mag_01949332	FSM	39.747	35.739	4.008	37
spire_mag_00688177	FSM	40.074	34.503	5.571	26
spire_mag_01040852	FSM	33.838	32.413	1.425	39
spire_mag_00866324	FSM	39.309	34.711	4.597	39
spire_mag_01776406	FSM	36.370	32.276	4.093	41
spire_mag_02088219	FSM	38.291	34.327	3.964	37
spire_mag_01824983	FSM	40.053	34.719	5.334	33
spire_mag_00866183	FSM	39.327	34.649	4.677	37
spire_mag_02087828	FSM	34.119	30.719	3.400	35
spire_mag_00709371	FSM	47.059	38.567	8.493	29
spire_mag_01776854	FSM	40.032	35.073	4.960	24
spire_mag_02088287	FSM	34.099	31.426	2.673	39
spire_mag_01824889	FSM	39.996	35.138	4.858	29
spire_mag_01750747	FSM	36.889	33.737	3.152	52
spire_mag_00036881	FSM	38.380	35.005	3.374	22
spire_mag_00139887	FSM	36.233	31.664	4.569	48
spire_mag_02028936	FSM	35.398	33.826	1.572	48
spire_mag_01117712	FSM	36.969	33.086	3.883	37
spire_mag_02088609	FSM	38.425	34.291	4.134	34
spire_mag_01108461	FSM	39.798	35.233	4.565	35
spire_mag_01664230	FSM	38.103	33.222	4.882	39
spire_mag_01748232	FSM	36.925	33.745	3.180	37
spire_mag_01949938	FSM	39.831	35.797	4.034	38
spire_mag_01960893	FSM	39.337	34.729	4.608	38
spire_mag_00138007	FSM	34.892	30.287	4.605	37
spire_mag_02186423	RGM	33.745	30.700	3.046	46
spire_mag_02294715	RGM	36.471	31.468	5.003	56
spire_mag_00560387	RGM	40.179	33.477	6.702	47
spire_mag_02298601	RGM	36.558	31.678	4.879	53
spire_mag_01623019	RGM	33.773	30.442	3.331	48
spire_mag_02307968	RGM	36.642	31.721	4.921	60
spire_mag_02294311	RGM	36.681	31.467	5.214	56
spire_mag_01040802	RGM	30.527	29.354	1.173	50
spire_mag_01586430	RGM	32.259	30.289	1.970	49
spire_mag_00907130	RGM	32.586	30.660	1.926	48
spire_mag_02208815	RGM	36.795	31.455	5.340	52
spire_mag_02297276	RGM	36.941	31.629	5.312	50
spire_mag_00079100	RGM	40.324	33.448	6.877	51
spire_mag_02296681	RGM	36.456	31.615	4.841	57
spire_mag_01584542	RGM	43.171	37.002	6.169	38
spire_mag_02374732	RGM	37.175	32.519	4.656	47
spire_mag_01585204	RGM	32.288	30.507	1.781	44
spire_mag_02296298	RGM	36.774	31.536	5.237	52
spire_mag_02200992	RGM	36.333	31.715	4.618	53
spire_mag_00709550	RGM	37.837	32.460	5.377	36
spire_mag_00143021	RGM	34.953	30.590	4.363	35
spire_mag_01041225	RGM	30.448	29.119	1.329	52
spire_mag_02292565	RGM	36.563	31.586	4.977	57
spire_mag_01197245	RGM	38.356	32.515	5.841	51
spire_mag_00080611	RGM	40.345	33.603	6.741	47
spire_mag_01784070	RGM	35.454	31.247	4.207	52
spire_mag_01620236	RGM	34.170	30.360	3.810	51
spire_mag_00975328	RGM	39.265	32.025	7.240	43
spire_mag_02521398	RGM	37.969	32.378	5.590	49
spire_mag_01196792	RGM	39.122	32.342	6.780	56
spire_mag_00518952	RGM	36.951	31.557	5.394	43
spire_mag_02295856	RGM	36.256	31.631	4.626	57
spire_mag_02298516	RGM	36.489	31.632	4.857	54
spire_mag_01586359	RGM	36.251	31.692	4.559	41
spire_mag_02305637	RGM	36.562	31.616	4.945	56
spire_mag_01196294	RGM	38.539	31.960	6.579	51
spire_mag_00487317	RGM	36.188	30.814	5.374	51
spire_mag_01585638	RGM	36.050	31.543	4.507	48
spire_mag_01041320	RGM	30.458	29.167	1.291	54
spire_mag_02371253	RGM	38.330	32.385	5.945	46
spire_mag_02293016	RGM	36.555	31.551	5.004	55
spire_mag_02307077	RGM	36.574	31.534	5.040	55
spire_mag_02300699	RGM	36.690	30.909	5.782	75
spire_mag_01197568	RGM	39.324	32.341	6.984	56
spire_mag_01198798	RGM	37.100	33.141	3.959	49
spire_mag_00490038	RGM	40.477	35.959	4.517	30
spire_mag_01203432	RGM	38.139	32.212	5.926	57
spire_mag_00488916	RGM	40.373	33.229	7.144	39
spire_mag_01585481	RGM	36.393	31.616	4.777	56
spire_mag_00877932	RGM	31.074	29.300	1.774	52
spire_mag_02296017	RGM	36.792	31.430	5.363	48
spire_mag_02307626	RGM	36.578	31.592	4.987	57
spire_mag_02002215	RGM	33.809	30.777	3.032	48
spire_mag_01776429	RGM	41.577	36.490	5.087	37
spire_mag_01619133	RGM	34.207	30.404	3.803	50
spire_mag_01100050	RGM	40.241	33.837	6.404	43
spire_mag_01620338	RGM	34.124	30.468	3.656	48
spire_mag_00825292	RGM	34.039	30.923	3.116	54
spire_mag_00691761	RGM	36.066	31.525	4.540	56
spire_mag_01188968	RGM	39.265	32.420	6.845	56
spire_mag_01199727	RGM	36.726	31.592	5.134	52
spire_mag_01623819	RGM	34.375	30.506	3.869	51
spire_mag_02293027	RGM	36.206	31.576	4.631	60
spire_mag_00492514	RGM	40.915	35.332	5.583	41
spire_mag_00825461	RGM	36.632	31.631	5.001	49
spire_mag_00493620	RGM	40.829	35.263	5.566	40
spire_mag_02299450	RGM	36.651	31.507	5.144	56
spire_mag_01586673	RGM	32.094	30.618	1.476	50
spire_mag_01585398	RGM	36.066	31.557	4.509	55
spire_mag_01585792	RGM	36.285	31.605	4.680	56
spire_mag_02307797	RGM	36.484	31.586	4.898	60
spire_mag_02300785	RGM	36.512	31.596	4.916	57
spire_mag_01882632	RGM	35.885	31.232	4.653	43
spire_mag_02003535	RGM	33.692	30.540	3.152	46
spire_mag_01619766	RGM	34.073	31.059	3.014	56
spire_mag_02300518	RGM	36.605	31.320	5.286	56
spire_mag_02292667	RGM	36.496	31.486	5.010	56
spire_mag_01586672	RGM	36.282	31.541	4.742	55
spire_mag_02520786	RGM	33.827	30.776	3.051	48
spire_mag_01244826	RGM	35.730	31.685	4.045	49
spire_mag_01733397	RGM	39.685	33.718	5.967	50
spire_mag_00841652	RGM	35.441	32.095	3.346	44
spire_mag_02184890	RGM	36.658	31.442	5.216	53
spire_mag_02516797	RGM	37.600	32.030	5.570	52
spire_mag_01124179	RGM	36.577	31.509	5.069	56
spire_mag_00907393	RGM	33.716	31.395	2.322	39
spire_mag_02306214	RGM	36.202	31.358	4.844	57
spire_mag_02297337	RGM	36.748	31.608	5.140	55
spire_mag_01276921	RGM	36.564	31.554	5.010	54
spire_mag_02293116	RGM	36.970	31.558	5.412	42
spire_mag_01621671	RGM	34.347	30.417	3.930	52
spire_mag_02166032	RGM	36.590	31.544	5.046	57
spire_mag_00709164	RGM	37.898	32.530	5.368	38
spire_mag_01586464	RGM	36.346	31.749	4.597	54
spire_mag_02519404	RGM	36.469	32.585	3.884	49
spire_mag_02299568	RGM	36.594	31.417	5.177	52
spire_mag_01620411	RGM	34.339	30.642	3.697	50
GCF_000195855.1	Decay	51.262	45.18	6.082	50
GCF_000975265.2	Decay	51.241	45.529	5.713	51
GCF_003408705.1	Decay	51.594	46.152	5.441	51
