q	s	ani	frag	total	cq	cs
spire_mag_02088284	spire_mag_02088418	83.2726	871	1088	FSM	FSM
spire_mag_02088284	spire_mag_01112767	80.3164	587	1088	FSM	FSM
spire_mag_02088284	spire_mag_02088287	80.1879	651	1088	FSM	FSM
spire_mag_02088284	spire_mag_02088330	79.9322	625	1088	FSM	FSM
spire_mag_02088284	spire_mag_02087828	79.7544	630	1088	FSM	FSM
spire_mag_02088284	spire_mag_01882647	79.7153	574	1088	FSM	FSM
spire_mag_02088284	spire_mag_02100063	79.5791	594	1088	FSM	FSM
spire_mag_02088284	spire_mag_01753708	79.4978	612	1088	FSM	FSM
spire_mag_02088284	spire_mag_01822855	79.0537	529	1088	FSM	FSM
spire_mag_02088284	spire_mag_00874439	79.0472	518	1088	FSM	FSM
spire_mag_02088284	spire_mag_00873124	78.9158	525	1088	FSM	FSM
spire_mag_02088284	spire_mag_00825292	78.4254	481	1088	FSM	RGM
spire_mag_02088284	spire_mag_02520786	78.3795	461	1088	FSM	RGM
spire_mag_02088284	spire_mag_02519404	78.3328	518	1088	FSM	RGM
spire_mag_02088284	spire_mag_01586430	78.3221	498	1088	FSM	RGM
spire_mag_02088284	spire_mag_01586673	78.2311	495	1088	FSM	RGM
spire_mag_02088284	spire_mag_02296681	77.7993	459	1088	FSM	RGM
spire_mag_02088284	spire_mag_02294715	77.7826	468	1088	FSM	RGM
spire_mag_02088284	spire_mag_02307626	77.7419	473	1088	FSM	RGM
spire_mag_02088284	spire_mag_02298516	77.7314	462	1088	FSM	RGM
spire_mag_02088284	spire_mag_01733412	77.6451	380	1088	FSM	SGM
spire_mag_02088284	spire_mag_02299450	77.6198	462	1088	FSM	RGM
spire_mag_02088284	spire_mag_02598702	77.4544	332	1088	FSM	SGM
spire_mag_02088284	spire_mag_01823769	77.4411	365	1088	FSM	SGM
spire_mag_02088284	spire_mag_00709062	77.2754	245	1088	FSM	SGM
