mag	genome_size_Mb	completeness_pct	ancestral_polymorphic_retained
spire_mag_00866583	2.895	95.59	50
spire_mag_01960893	2.947	97.78	72
spire_mag_00873789	2.989	96.86	57
spire_mag_01744910	3.006	95.73	69
spire_mag_00874229	3.024	97.48	53
spire_mag_00866324	3.043	95.44	53
spire_mag_00863569	3.047	96.02	56
spire_mag_01753570	3.056	95.56	69
spire_mag_00869002	3.068	98.1	66
spire_mag_00868143	3.076	98.24	59
spire_mag_01948467	3.097	97.75	80
spire_mag_00871125	3.101	98.39	73
spire_mag_00864073	3.118	95.6	55
spire_mag_00874085	3.129	96.46	69
spire_mag_01947705	3.145	95.13	81
spire_mag_02028936	3.163	97.97	81
spire_mag_00874439	3.174	99.04	67
spire_mag_00873124	3.175	99.36	74
spire_mag_01822349	3.272	96.72	77
spire_mag_01777835	3.29	95.03	74
spire_mag_01776742	3.297	95.34	73
spire_mag_01041266	3.301	95.54	81
spire_mag_01777252	3.324	95.16	69
spire_mag_01824889	3.329	98.31	73
spire_mag_01759821	3.346	97.86	80
spire_mag_02088330	3.352	99.89	83
spire_mag_01040852	3.356	96.01	81
spire_mag_01747196	3.357	98.26	81
spire_mag_01753944	3.357	97.56	85
spire_mag_01753708	3.363	99.08	81
spire_mag_01830074	3.366	97.58	73
spire_mag_02100063	3.37	99.44	82
spire_mag_01111439	3.373	98.19	92
spire_mag_01824983	3.374	97.01	80
spire_mag_01750747	3.377	98.22	84
spire_mag_01755240	3.389	98.09	81
spire_mag_00688367	3.394	95.23	70
spire_mag_01822855	3.398	99.49	79
spire_mag_01752215	3.398	98.12	79
spire_mag_02088219	3.404	97.59	89
spire_mag_01112767	3.418	99.26	89
spire_mag_02088828	3.419	98.17	77
spire_mag_00036704	3.454	95.62	77
spire_mag_02087828	3.457	99.45	82
spire_mag_02088507	3.466	98.79	82
spire_mag_02088284	3.483	100.0	76
spire_mag_02088418	3.486	99.84	94
spire_mag_02088609	3.513	95.05	86
spire_mag_00709371	3.527	95.77	77
spire_mag_02088287	3.534	99.69	81
spire_mag_01882647	3.596	99.96	98
spire_mag_01776406	3.725	95.09	96
spire_mag_00142179	3.777	96.33	105
spire_mag_00138007	3.787	97.7	106
spire_mag_00139887	4.148	95.74	92
spire_mag_01094475	4.309	95.82	89
spire_mag_02762480	4.329	95.05	101
spire_mag_01664230	4.512	95.43	102
spire_mag_01663809	4.534	96.05	104
