genome	clade	pseudogenes
spire_mag_00688367	FSM	4
spire_mag_01112767	FSM	4
spire_mag_02186423	RGM	3
spire_mag_02294715	RGM	11
spire_mag_02001409	SGM	101
spire_mag_00874085	FSM	4
spire_mag_01108952	FSM	8
spire_mag_00709072	SGM	2
spire_mag_01094744	FSM	2
spire_mag_00560387	RGM	36
spire_mag_02298601	RGM	8
spire_mag_01822349	FSM	8
spire_mag_01787296	SGM	14
spire_mag_01632252	FSM	1
spire_mag_01623019	RGM	11
spire_mag_02307968	RGM	9
spire_mag_01112928	FSM	13
spire_mag_02294311	RGM	9
spire_mag_01040802	RGM	6
spire_mag_00873789	FSM	1
spire_mag_01586430	RGM	18
spire_mag_02100063	FSM	5
spire_mag_00907130	RGM	6
spire_mag_02208815	RGM	8
spire_mag_02297276	RGM	12
spire_mag_00079100	RGM	13
spire_mag_00709062	SGM	5
spire_mag_01663809	FSM	7
spire_mag_01583196	FSM	7
spire_mag_02001657	SGM	19
spire_mag_02882770	SGM	23
spire_mag_02296681	RGM	6
spire_mag_00709385	SGM	6
spire_mag_00873124	FSM	1
spire_mag_01603564	SGM	16
spire_mag_01584542	RGM	19
spire_mag_02374732	RGM	3
spire_mag_02762480	FSM	7
spire_mag_01585204	RGM	22
spire_mag_02296298	RGM	12
spire_mag_01949778	FSM	5
spire_mag_01776742	FSM	3
spire_mag_02001406	SGM	96
spire_mag_01948467	FSM	1
spire_mag_01104972	FSM	17
spire_mag_01104521	FSM	9
spire_mag_02200992	RGM	21
spire_mag_00709550	RGM	3
spire_mag_02374351	SGM	6
spire_mag_01662118	FSM	3
spire_mag_00143021	RGM	4
spire_mag_01094475	FSM	3
spire_mag_00709327	SGM	2
spire_mag_01041225	RGM	3
spire_mag_01752215	FSM	4
spire_mag_02292565	RGM	7
spire_mag_01197245	RGM	19
spire_mag_00080611	RGM	13
spire_mag_01784070	RGM	12
spire_mag_01620236	RGM	9
spire_mag_00186517	SGM	16
spire_mag_02394504	SGM	43
spire_mag_00036704	FSM	1
spire_mag_00975328	RGM	38
spire_mag_02521398	RGM	25
spire_mag_01196792	RGM	14
spire_mag_00518952	RGM	15
spire_mag_02295856	RGM	10
spire_mag_01107416	FSM	7
spire_mag_02088507	FSM	0
spire_mag_02298516	RGM	6
spire_mag_01777835	FSM	4
spire_mag_01748689	FSM	6
spire_mag_01749319	FSM	2
spire_mag_01093898	FSM	2
spire_mag_01744298	FSM	2
spire_mag_01882615	SGM	43
spire_mag_00866583	FSM	1
spire_mag_01586359	RGM	14
spire_mag_02305637	RGM	6
spire_mag_01753944	FSM	3
spire_mag_01822855	FSM	4
spire_mag_01196294	RGM	13
spire_mag_00193483	FSM	4
spire_mag_00487317	RGM	3
spire_mag_00864073	FSM	1
spire_mag_01949386	FSM	14
spire_mag_00874229	FSM	4
spire_mag_02088330	FSM	1
spire_mag_01485026	SGM	120
spire_mag_01585638	RGM	13
spire_mag_01041320	RGM	0
spire_mag_02374219	SGM	30
spire_mag_02371253	RGM	5
spire_mag_02293016	RGM	7
spire_mag_01753570	FSM	6
spire_mag_01830074	FSM	6
spire_mag_01743952	FSM	2
spire_mag_01603410	SGM	34
spire_mag_02102612	FSM	4
spire_mag_00868143	FSM	2
spire_mag_01682165	SGM	28
spire_mag_01777252	FSM	4
spire_mag_00863569	FSM	4
spire_mag_02005306	FSM	4
spire_mag_02307077	RGM	6
spire_mag_02300699	RGM	15
spire_mag_00142179	FSM	1
spire_mag_02088418	FSM	2
spire_mag_01197568	RGM	14
spire_mag_01823769	SGM	23
spire_mag_01681850	SGM	23
spire_mag_01198798	RGM	10
spire_mag_00490038	RGM	11
spire_mag_02088828	FSM	2
spire_mag_01744910	FSM	8
spire_mag_01203432	RGM	8
spire_mag_01603633	SGM	20
spire_mag_01759821	FSM	3
spire_mag_01677777	SGM	27
spire_mag_00138052	FSM	7
spire_mag_00488916	RGM	22
spire_mag_00709104	FSM	3
spire_mag_00869002	FSM	2
spire_mag_01585481	RGM	17
spire_mag_02088284	FSM	6
spire_mag_02837879	SGM	26
spire_mag_00874439	FSM	3
spire_mag_00709551	SGM	11
spire_mag_00877932	RGM	3
spire_mag_01960731	FSM	3
spire_mag_02296017	RGM	7
spire_mag_01775892	FSM	8
spire_mag_01949445	FSM	7
spire_mag_01959179	SGM	6
spire_mag_02307626	RGM	7
spire_mag_01111439	FSM	12
spire_mag_01112215	FSM	6
spire_mag_01681793	SGM	23
spire_mag_02002215	RGM	11
spire_mag_01776429	RGM	12
spire_mag_01755240	FSM	2
spire_mag_01619133	RGM	12
spire_mag_01747196	FSM	4
spire_mag_01108626	FSM	8
spire_mag_01678280	SGM	29
spire_mag_01100050	RGM	30
spire_mag_01947641	FSM	9
spire_mag_01620338	RGM	9
spire_mag_00549465	SGM	4
spire_mag_01168129	SGM	17
spire_mag_00825292	RGM	5
spire_mag_00691761	RGM	12
spire_mag_01585658	SGM	6
spire_mag_00709178	SGM	3
spire_mag_01188968	RGM	20
spire_mag_01199727	RGM	24
spire_mag_01041266	FSM	1
spire_mag_01947849	FSM	3
spire_mag_01678249	SGM	24
spire_mag_01753708	FSM	4
spire_mag_01623819	RGM	7
spire_mag_00871125	FSM	1
spire_mag_02293027	RGM	12
spire_mag_01882647	FSM	0
spire_mag_00492514	RGM	13
spire_mag_00825461	RGM	12
spire_mag_02001975	SGM	22
spire_mag_00493620	RGM	15
spire_mag_02299450	RGM	10
spire_mag_02370757	SGM	7
spire_mag_01733412	SGM	15
spire_mag_01949332	FSM	10
spire_mag_01680964	SGM	18
spire_mag_00671068	SGM	10
spire_mag_01586673	RGM	17
spire_mag_00688177	FSM	6
spire_mag_01040852	FSM	0
spire_mag_00184606	SGM	18
spire_mag_00866324	FSM	1
spire_mag_01682807	SGM	16
spire_mag_01585398	RGM	13
spire_mag_00709337	SGM	6
spire_mag_01585792	RGM	15
spire_mag_01776406	FSM	1
spire_mag_02307797	RGM	6
spire_mag_02088219	FSM	4
spire_mag_01824983	FSM	7
spire_mag_02300785	RGM	8
spire_mag_01882632	RGM	7
spire_mag_02003535	RGM	4
spire_mag_01619766	RGM	9
spire_mag_02300518	RGM	11
spire_mag_02292667	RGM	7
spire_mag_01586672	RGM	15
spire_mag_02520786	RGM	8
spire_mag_01244826	RGM	12
spire_mag_00866183	FSM	2
spire_mag_01733397	RGM	17
spire_mag_01599223	SGM	13
spire_mag_00841652	RGM	13
spire_mag_02087828	FSM	1
spire_mag_00709371	FSM	8
spire_mag_01776854	FSM	5
spire_mag_02184890	RGM	14
spire_mag_02088287	FSM	1
spire_mag_00670601	SGM	12
spire_mag_02516797	RGM	14
spire_mag_01824889	FSM	3
spire_mag_01124179	RGM	10
spire_mag_00907393	RGM	4
spire_mag_02306214	RGM	9
spire_mag_01825260	SGM	16
spire_mag_02297337	RGM	9
spire_mag_01750747	FSM	3
spire_mag_00036881	FSM	2
spire_mag_00139887	FSM	8
spire_mag_00709154	SGM	11
spire_mag_02028936	FSM	9
spire_mag_01117712	FSM	8
spire_mag_01276921	RGM	8
spire_mag_02293116	RGM	13
spire_mag_02088609	FSM	2
spire_mag_02598702	SGM	81
spire_mag_01621671	RGM	9
spire_mag_01108461	FSM	16
spire_mag_02166032	RGM	8
spire_mag_01679848	SGM	18
spire_mag_02683911	SGM	27
spire_mag_01664230	FSM	6
spire_mag_00709164	RGM	3
spire_mag_01586464	RGM	12
spire_mag_02519404	RGM	10
spire_mag_01748232	FSM	2
spire_mag_02299568	RGM	6
spire_mag_01949938	FSM	8
spire_mag_01960893	FSM	4
spire_mag_01168185	SGM	36
spire_mag_01620411	RGM	10
spire_mag_02370601	SGM	32
spire_mag_00138007	FSM	1
spire_mag_01586492	SGM	11
spire_mag_01947705	FSM	2
Panel: the 503 ingroup genomes whose Bakta output was retained per genome, 243 SPIRE MAGs and 260 cultured isolates. Bakta was run on all 823 ingroup genomes with a retrievable assembly under one version, database and command line (Table S28); for the remaining 320 the per-genome output was not retained, which means that they carry no count here and enter no pseudogene comparison. FSM is fully represented: all 96 FSM MAGs are present, and FSM holds no cultured isolate.
