genome	rRNA_5S	rRNA_16S	rRNA_23S	distinct_tRNA_amino_acids	meets_MIMAG_high_quality
spire_mag_00036704	0	0	0	17	0
spire_mag_00036881	1	0	0	20	0
spire_mag_00079100	1	1	0	21	0
spire_mag_00080611	1	0	0	21	0
spire_mag_00138007	1	0	0	20	0
spire_mag_00138052	1	0	0	19	0
spire_mag_00139887	1	0	1	21	0
spire_mag_00142179	1	0	0	20	0
spire_mag_00143021	1	0	0	21	0
spire_mag_00184606	1	0	0	21	0
spire_mag_00186517	1	0	0	22	0
spire_mag_00193483	1	1	1	17	0
spire_mag_00487317	1	1	0	21	0
spire_mag_00488916	1	0	0	21	0
spire_mag_00490038	1	0	0	20	0
spire_mag_00492514	1	0	0	21	0
spire_mag_00493620	1	0	0	21	0
spire_mag_00518952	1	0	0	19	0
spire_mag_00518991	1	0	0	21	0
spire_mag_00549465	1	0	0	22	0
spire_mag_00560387	1	0	0	20	0
spire_mag_00670601	1	1	1	22	1
spire_mag_00671068	1	1	1	21	1
spire_mag_00688177	0	0	0	18	0
spire_mag_00688367	1	0	0	20	0
spire_mag_00691761	1	0	0	21	0
spire_mag_00709062	0	0	0	20	0
spire_mag_00709072	0	0	0	18	0
spire_mag_00709104	0	0	0	17	0
spire_mag_00709154	1	1	0	20	0
spire_mag_00709164	0	0	0	21	0
spire_mag_00709178	0	0	0	19	0
spire_mag_00709327	0	0	0	21	0
spire_mag_00709337	0	1	0	14	0
spire_mag_00709371	1	0	0	19	0
spire_mag_00709385	1	0	0	19	0
spire_mag_00709550	0	0	0	21	0
spire_mag_00709551	1	0	0	22	0
spire_mag_00825292	1	0	0	21	0
spire_mag_00825461	1	0	0	20	0
spire_mag_00841652	1	0	0	22	0
spire_mag_00863569	1	1	1	20	1
spire_mag_00864073	1	1	1	19	1
spire_mag_00866183	1	1	1	20	1
spire_mag_00866324	0	1	1	20	0
spire_mag_00866583	1	1	1	20	1
spire_mag_00868143	1	1	1	21	1
spire_mag_00869002	1	1	1	20	1
spire_mag_00871125	1	1	0	21	0
spire_mag_00873124	1	1	1	21	1
spire_mag_00873789	1	1	1	20	1
spire_mag_00874085	0	0	0	21	0
spire_mag_00874229	1	1	1	20	1
spire_mag_00874439	1	1	1	21	1
spire_mag_00877932	1	0	0	21	0
spire_mag_00907130	1	0	0	20	0
spire_mag_00907393	0	0	0	20	0
spire_mag_00975328	1	0	0	20	0
spire_mag_01040802	1	0	0	19	0
spire_mag_01040852	1	1	1	21	1
spire_mag_01041225	1	0	0	21	0
spire_mag_01041266	1	1	1	21	1
spire_mag_01041320	1	0	0	21	0
spire_mag_01093898	0	0	0	19	0
spire_mag_01094475	1	0	0	20	0
spire_mag_01094744	1	0	0	18	0
spire_mag_01100050	1	0	0	21	0
spire_mag_01104521	1	0	0	18	0
spire_mag_01104972	1	1	0	18	0
spire_mag_01107416	1	0	0	18	0
spire_mag_01108461	0	0	0	17	0
spire_mag_01108626	1	0	1	19	0
spire_mag_01108952	1	0	0	16	0
spire_mag_01111439	1	0	0	21	0
spire_mag_01112215	1	1	0	19	0
spire_mag_01112767	1	0	0	16	0
spire_mag_01112928	1	0	0	16	0
spire_mag_01117712	1	0	0	18	0
spire_mag_01124179	1	1	0	21	0
spire_mag_01168129	1	0	0	21	0
spire_mag_01168185	1	1	0	22	0
spire_mag_01188968	1	0	1	21	0
spire_mag_01196294	1	0	0	19	0
spire_mag_01196792	1	0	0	21	0
spire_mag_01197245	1	1	1	21	1
spire_mag_01197568	1	1	1	21	1
spire_mag_01198798	1	1	0	21	0
spire_mag_01199727	1	0	0	22	0
