genome_id_or_accession	clade3	kind	species	pseudogenes_bakta
spire_mag_00036704	FSM	MAG	novel sp.	1
spire_mag_00036881	FSM	MAG	novel sp.	2
spire_mag_00138007	FSM	MAG	Mycobacterium sp017853185	1
spire_mag_00138052	FSM	MAG	Mycobacterium sp030836785	7
spire_mag_00139887	FSM	MAG	Mycobacterium sp029780675	8
spire_mag_00142179	FSM	MAG	Mycobacterium sp017853185	1
spire_mag_00193483	FSM	MAG	novel sp.	4
spire_mag_00688177	FSM	MAG	Mycobacterium sp018401645	6
spire_mag_00688367	FSM	MAG	Mycobacterium sp018401645	4
spire_mag_00709104	FSM	MAG	novel sp.	3
spire_mag_00709371	FSM	MAG	novel sp.	8
spire_mag_00863569	FSM	MAG	Mycobacterium sp945897705	4
spire_mag_00864073	FSM	MAG	Mycobacterium sp945897705	1
spire_mag_00866183	FSM	MAG	Mycobacterium sp945897705	2
spire_mag_00866324	FSM	MAG	Mycobacterium sp945897705	1
spire_mag_00866583	FSM	MAG	Mycobacterium sp945897705	1
spire_mag_00868143	FSM	MAG	Mycobacterium sp945897705	2
spire_mag_00869002	FSM	MAG	Mycobacterium sp945897705	2
spire_mag_00871125	FSM	MAG	Mycobacterium sp945897705	1
spire_mag_00873124	FSM	MAG	Mycobacterium sp945897705	1
spire_mag_00873789	FSM	MAG	Mycobacterium sp945897705	1
spire_mag_00874085	FSM	MAG	Mycobacterium sp945897705	4
spire_mag_00874229	FSM	MAG	Mycobacterium sp945897705	4
spire_mag_00874439	FSM	MAG	Mycobacterium sp945897705	3
spire_mag_01040852	FSM	MAG	novel sp.	0
spire_mag_01041266	FSM	MAG	novel sp.	1
spire_mag_01093898	FSM	MAG	novel sp.	2
spire_mag_01094475	FSM	MAG	Mycobacterium sp036782595	3
spire_mag_01094744	FSM	MAG	Mycobacterium sp036782595	2
spire_mag_01104521	FSM	MAG	Mycobacterium sp903911165	9
spire_mag_01104972	FSM	MAG	Mycobacterium sp903911165	17
spire_mag_01107416	FSM	MAG	Mycobacterium sp903911165	7
spire_mag_01108461	FSM	MAG	Mycobacterium sp903911165	16
spire_mag_01108626	FSM	MAG	novel sp.	8
spire_mag_01108952	FSM	MAG	novel sp.	8
spire_mag_01111439	FSM	MAG	novel sp.	12
spire_mag_01112215	FSM	MAG	novel sp.	6
spire_mag_01112767	FSM	MAG	novel sp.	4
spire_mag_01112928	FSM	MAG	Mycobacterium sp903911165	13
spire_mag_01117712	FSM	MAG	Mycobacterium sp030836785	8
spire_mag_01583196	FSM	MAG	Mycobacterium sp018401645	7
spire_mag_01632252	FSM	MAG	Mycobacterium sp005789055	1
spire_mag_01662118	FSM	MAG	novel sp.	3
spire_mag_01663809	FSM	MAG	novel sp.	7
spire_mag_01664230	FSM	MAG	novel sp.	6
spire_mag_01743952	FSM	MAG	Mycobacterium sp964202555	2
spire_mag_01744298	FSM	MAG	Mycobacterium sp964202555	2
spire_mag_01744910	FSM	MAG	Mycobacterium sp964202555	8
spire_mag_01747196	FSM	MAG	Mycobacterium sp964202555	4
spire_mag_01748232	FSM	MAG	Mycobacterium sp964202555	2
spire_mag_01748689	FSM	MAG	Mycobacterium sp964202555	6
spire_mag_01749319	FSM	MAG	Mycobacterium sp964202555	2
spire_mag_01750747	FSM	MAG	Mycobacterium sp964202555	3
spire_mag_01752215	FSM	MAG	Mycobacterium sp964202555	4
spire_mag_01753570	FSM	MAG	Mycobacterium sp005789055	6
spire_mag_01753708	FSM	MAG	Mycobacterium sp964202555	4
spire_mag_01753944	FSM	MAG	Mycobacterium sp964202555	3
spire_mag_01755240	FSM	MAG	Mycobacterium sp964202555	2
spire_mag_01759821	FSM	MAG	Mycobacterium sp964202555	3
spire_mag_01775892	FSM	MAG	Mycobacterium sp018401645	8
spire_mag_01776406	FSM	MAG	Mycobacterium sp001510415	1
spire_mag_01776742	FSM	MAG	Mycobacterium sp018401645	3
spire_mag_01776854	FSM	MAG	Mycobacterium sp018401645	5
spire_mag_01777252	FSM	MAG	Mycobacterium sp018401645	4
spire_mag_01777835	FSM	MAG	Mycobacterium sp018401645	4
spire_mag_01822349	FSM	MAG	Mycobacterium sp018401645	8
spire_mag_01822855	FSM	MAG	Mycobacterium sp018401645	4
spire_mag_01824889	FSM	MAG	Mycobacterium sp018401645	3
spire_mag_01824983	FSM	MAG	Mycobacterium sp018401645	7
spire_mag_01830074	FSM	MAG	Mycobacterium sp018401645	6
spire_mag_01882647	FSM	MAG	novel sp.	0
spire_mag_01947641	FSM	MAG	Mycobacterium sp037138275	9
spire_mag_01947849	FSM	MAG	Mycobacterium sp037138275	3
spire_mag_01948467	FSM	MAG	Mycobacterium sp037141465	1
spire_mag_01949332	FSM	MAG	Mycobacterium sp037138275	10
spire_mag_01949386	FSM	MAG	Mycobacterium sp037138275	14
