genome	treatment	size_Mb	contigs	GC_pct	prodigal_CDS	prodigal_coding_density_pct	gene_recovery_pct	bakta_coding_density_pct	bakta_CDS	bakta_pseudogenes	prodigal_minus_bakta_points
GCF_010731895.1	C	6.401	1	65.82	6038	92.41		92.7	6035	3	-0.29
GCF_010731895.1	F	6.401	366	65.82	6331	92.42	96.54	90	6126	5	2.42
GCF_010731895.1	FI	6.119	355	65.86	6062	92.47	92.41	90	5866	5	2.47
GCF_010726245.1	C	5.925	1	66.75	5676	93.35		93.6	5669	2	-0.25
GCF_010726245.1	F	5.925	385	66.75	5993	93.36	95.68	90.6	5776	4	2.76
GCF_010726245.1	FI	5.664	369	66.75	5725	93.3	91.47	90.5	5517	3	2.8
GCA_002007745.1	C	6.104	1	67.35	6110	92.31		92.5	6106	122	-0.19
GCA_002007745.1	F	6.104	387	67.35	6404	92.29	96.01	89.7	6197	122	2.59
GCA_002007745.1	FI	5.833	379	67.34	6106	92.31	91.31	89.7	5901	120	2.61
GCF_010731855.1	C	5.697	1	67.1	5354	93.28		93.6	5352	1	-0.32
GCF_010731855.1	F	5.697	362	67.1	5647	93.26	96.02	90.6	5439	3	2.66
GCF_010731855.1	FI	5.445	346	67.1	5404	93.4	91.89	90.7	5202	2	2.7
GCF_015710575.1	C	5.962	1	66.29	5679	91.47		91.7	5671	16	-0.23
GCF_015710575.1	F	5.962	378	66.29	5969	91.46	96.02	89	5748	16	2.46
GCF_015710575.1	FI	5.698	369	66.31	5699	91.46	91.44	88.9	5488	16	2.56
GCF_010725885.1	C	6.328	1	67.91	6053	93.54		93.7	6048	5	-0.16
GCF_010725885.1	F	6.328	398	67.91	6372	93.48	95.8	90.8	6128	5	2.68
GCF_010725885.1	FI	6.048	387	67.9	6104	93.44	91.71	90.7	5871	5	2.74
GCF_900637205.1	C	5.462	1	68.88	5157	92.97		93.2	5151	2	-0.23
GCF_900637205.1	F	5.462	358	68.88	5431	92.89	95.25	90.2	5199	3	2.69
GCF_900637205.1	FI	5.221	340	68.84	5184	92.82	91.04	90.3	4968	3	2.52
GCF_010729895.1	C	5.877	1	67.49	5509	92.78		93	5506	0	-0.22
GCF_010729895.1	F	5.877	367	67.49	5796	92.73	95.88	90	5617	0	2.73
GCF_010729895.1	FI	5.618	353	67.51	5569	92.68	92.05	90	5393	0	2.68
GCF_010728925.1	C	5.965	1	65.66	5914	93.01		93.3	5907	2	-0.29
GCF_010728925.1	F	5.965	336	65.66	6169	92.96	96.21	90.8	5977	2	2.16
GCF_010728925.1	FI	5.702	325	65.68	5897	92.93	91.88	90.7	5709	2	2.23
GCF_000230895.2	C	6.416	1	65.49	6277	92.85		93.1	6270	6	-0.25
GCF_000230895.2	F	6.416	410	65.49	6593	92.84	95.32	89.6	6384	8	3.24
GCF_000230895.2	FI	6.123	404	65.48	6293	92.79	90.87	89.5	6091	8	3.29
GCF_010726085.1	C	6.226	1	66.01	6105	93.02		93.2	6097	0	-0.18
GCF_010726085.1	F	6.226	379	66.01	6393	92.97	95.97	90.6	6200	4	2.37
GCF_010726085.1	FI	5.949	365	66.01	6106	92.91	91.58	90.5	5927	4	2.41
GCA_900637135.1	C	5.396	1	66.79	5131	92.96		93.2	5126	10	-0.24
GCA_900637135.1	F	5.396	355	66.79	5409	92.93	95.58	90.1	5226	12	2.83
GCA_900637135.1	FI	5.158	344	66.77	5160	92.93	91.02	90	4974	12	2.93
GCF_010731795.1	C	5.024	1	66.88	4860	92.99		93.2	4855	2	-0.21
GCF_010731795.1	F	5.024	354	66.88	5140	92.93	95.29	89.4	4938	4	3.53
GCF_010731795.1	FI	4.803	344	66.85	4916	92.84	90.86	89.3	4720	4	3.54
GCF_001583415.1	C	5.35	1	69.44	5162	93.28		93.6	5161	17	-0.32
GCF_001583415.1	F	5.35	349	69.44	5443	93.22	95.52	90.6	5261	18	2.62
GCF_001583415.1	FI	5.114	333	69.41	5229	93.1	91.79	90.5	5052	17	2.6
GCF_900108565.1	C	5.988	1	68.42	5828	93.13		93.4	5824	8	-0.27
GCF_900108565.1	F	5.988	374	68.42	6132	93.06	95.37	90.4	5919	9	2.66
GCF_900108565.1	FI	5.724	360	68.42	5870	93.1	91.32	90.5	5663	9	2.6
GCF_010725725.1	C	5.485	1	67.52	5338	93.28		93.6	5336	1	-0.32
GCF_010725725.1	F	5.485	345	67.52	5609	93.24	95.84	90.5	5430	3	2.74
GCF_010725725.1	FI	5.243	329	67.51	5363	93.27	91.66	90.6	5197	3	2.67
GCF_019645835.1	C	5.624	1	67.23	5325	93.46		93.7	5317	6	-0.24
GCF_019645835.1	F	5.624	319	67.23	5585	93.44	96.21	90.6	5400	7	2.84
GCF_019645835.1	FI	5.376	304	67.26	5336	93.44	91.94	90.6	5162	5	2.84
GCF_900603025.1	C	5.269	1	69.3	4928	91.76		92.2	4925	3	-0.44
GCF_900603025.1	F	5.269	338	69.3	5187	91.7	94.99	88.7	5005	4	3
GCF_900603025.1	FI	5.035	321	69.28	4961	91.74	90.89	88.7	4787	4	3.04
GCF_003855255.1	C	6.906	1	66.55	6677	92.75		92.8	6674	7	-0.05
GCF_003855255.1	F	6.906	409	66.55	6993	92.7	96.3	89.6	6767	8	3.1
GCF_003855255.1	FI	6.601	395	66.55	6683	92.73	91.91	89.6	6470	8	3.13
GCF_022179545.1	C	6.406	1	66.19	6156	92.93		93.2	6155	7	-0.27
GCF_022179545.1	F	6.406	350	66.19	6437	92.91	95.27	90.5	6256	7	2.41
GCF_022179545.1	FI	6.124	329	66.19	6167	92.89	91.46	90.8	5987	7	2.09
