tip	genome_id_or_accession	origin	culture_status	species	clade	genome_size_Mb	GC_pct	coding_density_pct	acidic_residues_pct	urease	ectoine_synthase	rhodopsin	salinity_habitat	completeness_pct	contamination_pct	biome	ncbi_organism_name	ncbi_genus	pathogenicity	coding_density_pct_uniform_prodigal	n_contigs	assembly_status	completeness_ncbi_checkm_pct	contamination_ncbi_checkm_pct	completeness_source	checkm2_this_study_completeness_pct	checkm2_this_study_contamination_pct	completeness_used_pct
GB_GCA_000230935.2	GCA_000230935.2	GTDB reference	Cultured isolate	Mycobacterium rhodesiae_B	RGM (large-genome)	7.282	66.07	92.03	11.4	present	absent	absent					Mycolicibacterium rhodesiae JS60	Mycolicibacterium	non_pathogen	92.06	31	draft	99.94	2.37	complete by definition (isolate)			100
RS_GCF_013404075.1	GCF_013404075.1	GTDB reference	Cultured isolate	Mycobacterium vinylchloridicum	RGM (large-genome)	7.196	66.29	91.18	11.3	present	absent	absent					Mycolicibacterium vinylchloridicum	Mycolicibacterium	non_pathogen	92.54	225	draft	99.82	2.2	complete by definition (isolate)			100
GB_GCA_023264735.1	GCA_023264735.1	GTDB reference	MAG / uncultured	Mycobacterium sp023264735	RGM (large-genome)	6.265	66.07	92.72	11.36	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	92.62	176	draft			CheckM2 v1.0.1 (this study)	99.63	0.16	99.63
RS_GCF_013337765.1	GCF_013337765.1	GTDB reference	MAG / uncultured	Mycobacterium sp003053865	RGM (large-genome)	6.493	66.31	92.24	11.35	present	absent	absent					Mycolicibacterium sphagni	Mycolicibacterium	non_pathogen	92.96	38	draft	99.74	2.63	CheckM2 v1.0.1 (this study)	99.99	0.14	99.99
GB_GCA_900078375.1	GCA_900078375.1	GTDB reference	MAG / uncultured	Mycobacterium sp900078375	RGM (large-genome)	6.832	66.22	93.47	11.19	present	absent	absent					uncultured Mycobacterium sp.	not validly named	non_pathogen	92.15	92	draft			CheckM2 v1.0.1 (this study)	99.83	2.3	99.83
RS_GCF_033804465.1	GCF_033804465.1	GTDB reference	MAG / uncultured	Mycobacterium sp033804465	RGM (large-genome)	6.126	66.42	92.91	11.29	present	absent	absent					Mycobacterium sp. RTGN5	not validly named	non_pathogen	93.57	22	draft	99.33	1.22	CheckM2 v1.0.1 (this study)	99.97	0	99.97
RS_GCF_010731895.1	GCF_010731895.1	GTDB reference	Cultured isolate	Mycobacterium helvum	RGM (large-genome)	6.401	65.82	91.43	11.22	present	absent	absent					Mycolicibacterium helvum	Mycolicibacterium	non_pathogen	92.41	1	closed	99.57	1.84	complete by definition (isolate)			100
RS_GCF_010731875.1	GCF_010731875.1	GTDB reference	Cultured isolate	Mycobacterium sarraceniae	RGM (large-genome)	4.828	65.95	85.47	11.3	present	absent	absent					Mycolicibacterium sarraceniae	Mycolicibacterium	non_pathogen	90.47	1	closed	99.74	0.49	complete by definition (isolate)			100
RS_GCF_002250655.1	GCF_002250655.1	GTDB reference	Cultured isolate	Mycobacterium sphagni	RGM (large-genome)	6.067	65.92	91.24	11.3	present	absent	absent					Mycolicibacterium sphagni	Mycolicibacterium	non_pathogen	92.42	78	draft	99.4	1.2	complete by definition (isolate)			100
RS_GCF_004362315.1	GCF_004362315.1	GTDB reference	MAG / uncultured	Mycobacterium sp004362315	RGM (large-genome)	6.93	66.45	93.0	11.34	present	absent	absent					Mycobacterium sp. BK086	not validly named	non_pathogen	93.71	11	draft	99.64	2.14	CheckM2 v1.0.1 (this study)	100	0.01	100
GB_GCA_021732005.1	GCA_021732005.1	GTDB reference	MAG / uncultured	Mycobacterium sp021732005	RGM (large-genome)	5.758	66.88	93.45	11.25	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	93.21	64	draft			CheckM2 v1.0.1 (this study)	100	0.05	100
RS_GCF_008329905.1	GCF_008329905.1	GTDB reference	MAG / uncultured	Mycobacterium sp008329905	RGM (large-genome)	6.468	66.62	88.46	11.35	present	absent	absent					Mycobacterium sp. ELW1	not validly named	non_pathogen	92.73	2	draft	96.16	2.75	CheckM2 v1.0.1 (this study)	99.99	2.31	99.99
RS_GCF_000559085.1	GCF_000559085.1	GTDB reference	Cultured isolate	Mycobacterium aromaticivorans	RGM (large-genome)	6.298	66.41	89.02	11.27	present	absent	absent					Mycolicibacterium aromaticivorans JS19b1 = JCM 16368	Mycolicibacterium	non_pathogen	91.72	6	draft	99.83	1	complete by definition (isolate)			100
RS_GCF_002887815.1	GCF_002887815.1	GTDB reference	MAG / uncultured	Mycobacterium sp002887815	RGM (large-genome)	6.229	66.72	91.21	11.41	present	present	present					Mycobacterium sp. ENV421	not validly named	non_pathogen	92.74	160	draft	99.21	1.14	CheckM2 v1.0.1 (this study)	100	0.03	100
RS_GCF_010726245.1	GCF_010726245.1	GTDB reference	Cultured isolate	Mycobacterium aichiense	RGM (large-genome)	5.925	66.75	92.64	11.36	present	present	absent					Mycolicibacterium aichiense	Mycolicibacterium	non_pathogen	93.35	1	closed	99.48	0.81	complete by definition (isolate)			100
RS_GCF_002086695.1	GCF_002086695.1	GTDB reference	Cultured isolate	Mycobacterium rhodesiae	RGM (large-genome)	6.009	66.59	92.63	11.28	present	present	absent					Mycolicibacterium rhodesiae	Mycolicibacterium	non_pathogen	93.25	52	draft	91.35	5.95	complete by definition (isolate)			100
RS_GCF_001021385.1	GCF_001021385.1	GTDB reference	MAG / uncultured	Mycobacterium sp001021385	RGM (large-genome)	6.177	66.35	92.15	11.38	present	absent	absent					Mycobacterium sp. EPa45	not validly named	non_pathogen	93.47	1	closed	98.64	0.91	complete by definition (closed)			100
RS_GCF_008329565.1	GCF_008329565.1	GTDB reference	MAG / uncultured	Mycobacterium sp008329565	RGM (large-genome)	5.42	66.11	92.45	11.44	present	absent	absent					Mycolicibacterium sp. P1-5	not validly named	non_pathogen	93.45	51	draft	100	1.06	CheckM2 v1.0.1 (this study)	100	0	100
GB_GCA_023416315.1	GCA_023416315.1	GTDB reference	MAG / uncultured	Mycobacterium sp023416315	RGM (large-genome)	5.687	67.42	94.49	11.39	present	absent	absent					Actinomycetes bacterium	not validly named	non_pathogen	94.28	505	draft			CheckM2 v1.0.1 (this study)	92.57	7.47	92.57
spire_mag_02519404.fa	spire_mag_02519404	SPIRE MAG	MAG / uncultured	Mycobacterium sp023416315	RGM (large-genome)	5.873	67.37	94.14	11.4	present	absent	absent		100.0	4.87	host-associated	not applicable (MAG)	not applicable (MAG)	MAG	94.14	320	draft			CheckM2 v1.0.1 (this study)	100	4.95	100
RS_GCF_022370635.2	GCF_022370635.2	GTDB reference	Cultured isolate	Mycobacterium crocinum	RGM (large-genome)	6.184	66.55	91.02	11.37	present	present	absent					Mycolicibacterium crocinum	Mycolicibacterium	non_pathogen	93.3	3	draft	99.83	2.09	complete by definition (isolate)			100
RS_GCF_002723835.1	GCF_002723835.1	GTDB reference	MAG / uncultured	Mycobacterium sp002723835	RGM (large-genome)	6.534	67.64	91.47	11.25	present	present	absent					Mycobacterium sp. shizuoka-1	not validly named	non_pathogen	92.63	162	draft	99.83	1.68	CheckM2 v1.0.1 (this study)	100	0.09	100
RS_GCF_026242035.1	GCF_026242035.1	GTDB reference	Cultured isolate	Mycobacterium pinniadriaticum	RGM (large-genome)	6.88	66.27	90.83	11.39	present	present	absent					Mycobacterium pinniadriaticum	Mycobacterium	non_pathogen	92.34	143	draft	99.33	0.88	complete by definition (isolate)			100
GB_GCA_002007745.1	GCA_002007745.1	GTDB reference	Cultured isolate	Mycobacterium litorale_A	RGM (large-genome)	6.104	67.35	80.56	11.13	present	absent	absent					Mycolicibacterium litorale	Mycolicibacterium	non_pathogen	92.31	1	closed			complete by definition (isolate)			100
RS_GCF_004745805.1	GCF_004745805.1	GTDB reference	MAG / uncultured	Mycobacterium sp004745805	RGM (large-genome)	6.047	66.74	90.54	11.06	present	absent	absent					Mycolicibacterium sp. CH28	not validly named	non_pathogen	91.84	43	draft	99.83	2.76	CheckM2 v1.0.1 (this study)	100	0.05	100
RS_GCF_001494595.1	GCF_001494595.1	GTDB reference	MAG / uncultured	Mycobacterium sp001494595	RGM (large-genome)	5.732	67.54	91.34	11.36	present	absent	absent					Mycobacterium sp. M26	not validly named	non_pathogen	93.65	9	draft	97.9	1.44	CheckM2 v1.0.1 (this study)	100	0.15	100
RS_GCF_010731855.1	GCF_010731855.1	GTDB reference	Cultured isolate	Mycobacterium anyangense	RGM (large-genome)	5.697	67.1	92.24	11.15	present	absent	absent					Mycolicibacterium anyangense	Mycolicibacterium	non_pathogen	93.28	1	closed	99.48	0.52	complete by definition (isolate)			100
RS_GCF_011694515.1	GCF_011694515.1	GTDB reference	MAG / uncultured	Mycobacterium sp011694515	RGM (large-genome)	5.101	67.4	92.52	11.18	present	absent	present					Mycobacterium sp. DL592	not validly named	non_pathogen	93.26	1	closed	98.19	0.92	complete by definition (closed)			100
RS_GCF_036023875.1	GCF_036023875.1	GTDB reference	MAG / uncultured	Mycobacterium sp036023875	RGM (large-genome)	5.615	67.25	92.96	11.23	present	absent	present					Mycobacterium sp. NBC_00419	not validly named	non_pathogen	93.56	1	closed	99.64	0.83	complete by definition (closed)			100
RS_GCF_022760805.1	GCF_022760805.1	GTDB reference	Cultured isolate	Mycobacterium alkanivorans	RGM (large-genome)	4.05	67.37	84.69	11.5	absent	absent	absent					Candidatus Mycolicibacterium alkanivorans	not validly named	non_pathogen	89.49	3	draft	98.38	4.54	complete by definition (isolate)			100
GB_GCA_020438785.1	GCA_020438785.1	GTDB reference	MAG / uncultured	Mycobacterium sp020438785	RGM (large-genome)	4.022	68.66	89.93	11.37	absent	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	92.56	518	draft			CheckM2 v1.0.1 (this study)	65.22	1.62	65.22
spire_mag_01620236.fa	spire_mag_01620236	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438785	RGM (large-genome)	4.925	68.77	92.92	11.45	absent	absent	absent		92.17	4.59	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	92.92	466	draft			CheckM2 v1.0.1 (this study)	92.18	4.65	92.18
spire_mag_01620411.fa	spire_mag_01620411	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438785	RGM (large-genome)	4.933	68.68	93.09	11.46	absent	absent	absent		96.6	4.94	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	93.09	480	draft			CheckM2 v1.0.1 (this study)	98.04	4.92	98.04
spire_mag_01619766.fa	spire_mag_01619766	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438785	RGM (large-genome)	4.877	68.92	92.87	11.45	absent	absent	absent		94.62	4.31	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	92.87	618	draft			CheckM2 v1.0.1 (this study)	94.48	4.31	94.48
spire_mag_01623019.fa	spire_mag_01623019	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438785	RGM (large-genome)	4.514	69.06	93.35	11.43	absent	absent	absent		90.99	2.86	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	93.35	532	draft			CheckM2 v1.0.1 (this study)	90.82	2.78	90.82
spire_mag_02002215.fa	spire_mag_02002215	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438785	RGM (large-genome)	4.664	68.98	93.06	11.43	absent	absent	absent		99.78	2.56		not applicable (MAG)	not applicable (MAG)	MAG	93.06	357	draft			CheckM2 v1.0.1 (this study)	99.8	2.54	99.8
spire_mag_02003535.fa	spire_mag_02003535	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438785	RGM (large-genome)	4.842	69.05	93.24	11.37	absent	absent	absent		94.26	3.07		not applicable (MAG)	not applicable (MAG)	MAG	93.24	432	draft			CheckM2 v1.0.1 (this study)	94.39	3	94.39
GB_GCA_020438865.1	GCA_020438865.1	GTDB reference	MAG / uncultured	Mycobacterium sp020438865	RGM (large-genome)	4.965	68.68	91.14	11.43	absent	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	92.43	366	draft			CheckM2 v1.0.1 (this study)	90.53	3.54	90.53
spire_mag_01619133.fa	spire_mag_01619133	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438865	RGM (large-genome)	5.081	68.68	92.51	11.39	absent	absent	absent		99.96	1.58	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	92.51	199	draft			CheckM2 v1.0.1 (this study)	99.9	1.5	99.9
spire_mag_01620338.fa	spire_mag_01620338	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438865	RGM (large-genome)	4.463	68.82	92.92	11.42	absent	absent	absent		91.55	2.31	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	92.92	590	draft			CheckM2 v1.0.1 (this study)	91.2	2.19	91.2
spire_mag_01623819.fa	spire_mag_01623819	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438865	RGM (large-genome)	5.18	68.62	92.43	11.4	absent	absent	absent		99.49	3.14	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	92.43	318	draft			CheckM2 v1.0.1 (this study)	99.48	3.11	99.48
spire_mag_01621671.fa	spire_mag_01621671	SPIRE MAG	MAG / uncultured	Mycobacterium sp020438865	RGM (large-genome)	5.196	68.62	92.31	11.4	absent	absent	absent		99.93	4.83	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	92.31	240	draft			CheckM2 v1.0.1 (this study)	99.94	4.75	99.94
GB_GCA_005789055.1	GCA_005789055.1	GTDB reference	MAG / uncultured	Mycobacterium sp005789055	FSM (small-genome)	2.218	66.26	94.53	11.01	absent	absent	present					Actinomycetota bacterium	not validly named	non_pathogen	94.34	450	draft			CheckM2 v1.0.1 (this study)	57.28	0.66	57.28
spire_mag_01632252.fa	spire_mag_01632252	SPIRE MAG	MAG / uncultured	Mycobacterium sp005789055	FSM (small-genome)	2.748	66.34	94.46	11.21	absent	absent	present	low salinity	93.81	3.65	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	94.46	422	draft			CheckM2 v1.0.1 (this study)	94.13	3.74	94.13
spire_mag_01753570.fa	spire_mag_01753570	SPIRE MAG	MAG / uncultured	Mycobacterium sp005789055	FSM (small-genome)	3.056	66.21	94.17	11.18	absent	absent	present	low salinity	95.56	2.8	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	94.17	335	draft			CheckM2 v1.0.1 (this study)	95.56	2.8	95.56
GB_GCA_945897705.1	GCA_945897705.1	GTDB reference	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	2.53	66.37	94.35	11.21	absent	absent	present					Bifidobacterium breve	Bifidobacterium	non_pathogen	94.21	272	draft			CheckM2 v1.0.1 (this study)	83.4	2.53	83.4
spire_mag_00863569.fa	spire_mag_00863569	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.047	66.39	93.98	11.21	absent	absent	present	low salinity	96.02	0.01	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.98	106	draft			CheckM2 v1.0.1 (this study)	95.76	0.01	95.76
spire_mag_00864073.fa	spire_mag_00864073	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.118	66.33	93.83	11.22	absent	absent	present	low salinity	95.6	0.57	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.83	110	draft			CheckM2 v1.0.1 (this study)	95.05	0.59	95.05
spire_mag_00866183.fa	spire_mag_00866183	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.015	66.35	93.97	11.21	absent	absent	present	low salinity	94.03	0.08	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.97	104	draft			CheckM2 v1.0.1 (this study)	93.58	0.08	93.58
spire_mag_00869002.fa	spire_mag_00869002	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.068	66.34	93.99	11.21	absent	absent	present	low salinity	98.1	1.11	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.99	115	draft			CheckM2 v1.0.1 (this study)	98	1.11	98
spire_mag_00874085.fa	spire_mag_00874085	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.129	66.39	94.09	11.19	absent	absent	present	low salinity	96.46	0.04	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	94.09	109	draft			CheckM2 v1.0.1 (this study)	96.08	0.04	96.08
spire_mag_00873124.fa	spire_mag_00873124	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.175	66.38	93.87	11.19	absent	absent	present	low salinity	99.36	0.19	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.87	121	draft			CheckM2 v1.0.1 (this study)	99.25	0.19	99.25
spire_mag_00874439.fa	spire_mag_00874439	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.174	66.29	93.9	11.22	absent	absent	present	low salinity	99.04	1.67	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.9	123	draft			CheckM2 v1.0.1 (this study)	99.04	1.66	99.04
spire_mag_00874229.fa	spire_mag_00874229	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.024	66.28	93.89	11.26	absent	absent	absent	low salinity	97.48	0.34	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.89	89	draft			CheckM2 v1.0.1 (this study)	97.46	0.33	97.46
spire_mag_00866324.fa	spire_mag_00866324	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.043	66.33	93.86	11.22	absent	absent	present	low salinity	95.44	1.42	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.86	105	draft			CheckM2 v1.0.1 (this study)	95.14	1.41	95.14
spire_mag_00866583.fa	spire_mag_00866583	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	2.895	66.37	93.93	11.25	absent	absent	present	low salinity	95.59	0.0	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.93	94	draft			CheckM2 v1.0.1 (this study)	95.36	0	95.36
spire_mag_00868143.fa	spire_mag_00868143	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.076	66.32	93.81	11.23	absent	absent	present	low salinity	98.24	0.28	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.81	108	draft			CheckM2 v1.0.1 (this study)	98.17	0.27	98.17
spire_mag_00871125.fa	spire_mag_00871125	SPIRE MAG	MAG / uncultured	Mycobacterium sp945897705	FSM (small-genome)	3.101	66.37	93.91	11.2	absent	absent	present	low salinity	98.39	1.02	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	93.91	172	draft			CheckM2 v1.0.1 (this study)	98.33	1.12	98.33
