quantity	value	source	filter_or_model
genomes in phylogeny	862	S1	all tips
ingroup genomes	824	S1	SGM + RGM + FSM crown clade
Tsukamurella rooting taxa	19	S1	rooting taxa, excluded from all clade comparisons
basal GTDB-Mycobacterium outside ingroup	19	S1	M. abscessus-M. chelonae lineage (18) + Mycobacterium sp021213805; excluded
SPIRE MAGs retrieved	246	S1	GTDB R226 g__Mycobacterium, near-complete (CheckM2 ≥90% complete, ≤5% contaminated); only 32 of 246 annotated MAGs meet full MIMAG high-quality criteria, see S1b
SPIRE MAGs inside the ingroup	243	S1	3 of the 246 fall outside the crown clade
SGM genomes (all)	299	S1	all tips
SGM MAGs	50	S1	MAGs only
RGM genomes (all)	391	S1	all tips
RGM MAGs	97	S1	MAGs only
FSM genomes (all)	134	S1	all tips
FSM MAGs	96	S1	MAGs only
SGM median genome size (Mb)	5.36	S1	824 ingroup genomes
SGM median genome size (Mb), MAG subset	5.1	S1	SPIRE MAGs only
SGM median GC (%)	66.66	S1	824 ingroup genomes
SGM median GC (%), MAG subset	65.62	S1	SPIRE MAGs only
SGM median coding density (%), deposited annotation	89.63	S1	824 ingroup genomes; superseded for all reported comparisons by the uniform Prodigal rows below
SGM median coding density (%), deposited annotation, MAG subset	90.97	S1	SPIRE MAGs only
RGM median genome size (Mb)	6.05	S1	824 ingroup genomes
RGM median genome size (Mb), MAG subset	6.0	S1	SPIRE MAGs only
RGM median GC (%)	67.12	S1	824 ingroup genomes
RGM median GC (%), MAG subset	67.82	S1	SPIRE MAGs only
RGM median coding density (%), deposited annotation	91.73	S1	824 ingroup genomes; superseded for all reported comparisons by the uniform Prodigal rows below
RGM median coding density (%), deposited annotation, MAG subset	92.52	S1	SPIRE MAGs only
FSM median genome size (Mb)	3.31	S1	824 ingroup genomes
FSM median genome size (Mb), MAG subset	3.32	S1	SPIRE MAGs only
FSM median GC (%)	67.08	S1	824 ingroup genomes
FSM median GC (%), MAG subset	66.6	S1	SPIRE MAGs only
